To Kill a Mockingbird	Harper Lee	233	1960	English	Fiction	Southern Literature, Legal Drama, Social Issues	A classic novel that explores themes of racial injustice and moral growth in the American South during the 1930s.	New	139
The Great Gatsby	F. Scott Fitzgerald	180	1925	English	Fiction	Jazz Age, Roaring Twenties, American Dream	Set in the Roaring Twenties, this novel explores the American Dream and the moral decay of society.	Fair	60
One Hundred Years of Solitude	Gabriel García Márquez	417	1967	Spanish	Fantasy	Latin American Literature, Family Saga, Magical Realism	A multi-generational tale that weaves magical elements into the history of the Buendía family in the fictional town of Macondo.	Poor	120
The Catcher in the Rye	J.D. Salinger	224	1951	English	Fiction	Bildungsroman, Teen Angst, Alienation, Coming-of-Age	Follow Holden Caulfield's journey of self-discovery and rebellion against societal norms.	New	89
The Alchemist	Paulo Coelho	208	1988	Portuguese	Fiction	Quest, Spiritual Journey, Destiny, Philosophical	Santiago's quest for a hidden treasure becomes a journey of self-discovery and spiritual awakening.	Good	119
The Lord of the Rings	J.R.R. Tolkien	1178	1954	English	Fantasy	Epic, Quest, Fellowship	Epic fantasy trilogy following the quest to destroy the One Ring and save Middle-earth from the dark lord Sauron.	Fair	199
Pride and Prejudice	Jane Austen	279	1813	English	Romance	Regency Era, Social Commentary, Love Story	A witty and romantic novel that explores societal expectations and the complexities of love.	New	50
Murder on the Orient Express	Agatha Christie	265	1934	English	Mystery	Detective, Whodunit, Hercule Poirot	Hercule Poirot investigates a murder on the famous Orient Express, leading to a surprising and intricate resolution.	Good	125
The Girl on the Train	Paula Hawkins	336	2015	Danish	Thriller	Mystery	Join Rachel on a suspenseful journey as she becomes entangled in a missing person's investigation in this gripping psychological thriller.	New	100
The Da Vinci Code	Dan Brown	481	2003	Danish	Mystery	Thriller	Join symbologist Robert Langdon on a thrilling quest to unravel ancient mysteries and uncover hidden secrets.	Good	130
Echoes of Eternity	Olivia Rivers	380	2021	English	Fantasy	Magic, Adventure, Prophecy	In a realm where magic binds the past and future, a reluctant hero must navigate treacherous landscapes, facing ancient prophecies and unraveling mysteries that could alter the course of history.	New	149
